Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
amazon,400727,4699738,16,0,183668,0.029905,183668,0.029905,0.355000,1,16,16,0
arabic-2005,22744080,1107806146,16,0,2331458,0.030001,2312896,0.046683,29.029000,1,16,16,0
channel-500x100x100-b050,4802000,85362744,16,0,725824,0.029997,874823,0.029991,3.190000,1,16,16,0
del26,67108864,402653086,16,0,109384,0.026241,121038,0.026337,24.363000,1,16,16,0
enwiki-2013,4206785,183879456,16,0,28289133,0.030001,32758388,0.032580,16.886000,1,16,16,0
eu-2005,862664,32276936,16,0,358266,0.029972,358266,0.029972,0.791000,1,16,16,0
hugebubbles-00010,19458087,58359528,16,0,17104,0.029540,18122,0.029457,10.256000,1,16,16,0
in-2004,1382908,27182946,16,0,25369,0.029989,19818,0.074556,1.464000,1,16,16,0
nlpkkt240,27993600,746478752,16,0,5809227,0.029248,7236099,0.029750,20.422000,1,16,16,0
packing-500x100x100-b050,2145852,34976486,16,0,240193,0.029996,283174,0.029818,1.662000,1,16,16,0
rgg_n26_s0,67108864,1149107290,16,0,225656,0.029080,240925,0.029014,27.849000,1,16,16,0
sk-2005,50636154,3620126660,16,0,17314912,0.030000,17269085,0.076597,100.120000,1,16,16,0
uk-2002,18520486,523574516,16,0,1630840,0.030000,1666392,0.031172,16.302000,1,16,16,0
uk-2007-05,105896555,2308785832,16,0,0,0.000000,0,0.000000,0.000000,1,16,16,1
youtube,1134890,5975246,16,0,710984,0.029790,710984,0.029790,0.714000,1,16,16,0
