Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
amazon,400727,4699738,16,0,190437,0.029945,190437,0.029945,0.375000,1,16,16,0
arabic-2005,22744080,1107806146,16,0,2169174,0.030001,2164181,0.049104,52.038000,1,16,16,0
channel-500x100x100-b050,4802000,85362744,16,0,728853,0.029997,878470,0.029927,4.796000,1,16,16,0
del26,67108864,402653086,16,0,107976,0.029789,119969,0.029844,24.629000,1,16,16,0
enwiki-2013,4206785,183879456,16,0,28158344,0.030066,32920877,0.032717,35.484000,1,16,16,0
eu-2005,862664,32276936,16,0,353526,0.029972,353526,0.029972,0.775000,1,16,16,0
hugebubbles-00010,19458087,58359528,16,0,18151,0.027584,19217,0.027499,10.889000,1,16,16,0
in-2004,1382908,27182946,16,0,25892,0.029989,19410,0.068296,2.021000,1,16,16,0
nlpkkt240,27993600,746478752,16,0,5743039,0.029399,7190901,0.029961,28.358000,1,16,16,0
packing-500x100x100-b050,2145852,34976486,16,0,248302,0.028170,294055,0.029169,2.328000,1,16,16,0
rgg_n26_s0,67108864,1149107290,16,0,233675,0.029657,249392,0.029626,30.853000,1,16,16,0
sk-2005,50636154,3620126660,16,0,18455405,0.030008,17852410,0.074713,194.627000,1,16,16,0
uk-2002,18520486,523574516,16,0,1601198,0.030008,1636000,0.031499,28.000000,1,16,16,0
uk-2007-05,105896555,2308785832,16,0,0,0.000000,898562195,0.177048,0.000000,1,16,16,1
youtube,1134890,5975246,16,0,713763,0.029973,713763,0.029973,0.775000,1,16,16,0
