Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
amazon,400727,4699738,16,0,187836,0.029945,187836,0.029945,0.347000,1,16,16,0
arabic-2005,22744080,1107806146,16,0,0,0.000000,2148743,0.042887,0.000000,1,16,16,1
channel-500x100x100-b050,4802000,85362744,16,0,743634,0.029145,897880,0.027858,4.847000,1,16,16,0
del26,67108864,402653086,16,0,111090,0.026058,123893,0.026051,25.628000,1,16,16,0
enwiki-2013,4206785,183879456,16,0,0,0.000000,32900728,0.032964,0.000000,1,16,16,1
eu-2005,862664,32276936,16,0,305636,0.029972,305636,0.029972,0.772000,1,16,16,0
hugebubbles-00010,19458087,58359528,16,0,17956,0.028978,19045,0.029101,11.345000,1,16,16,0
in-2004,1382908,27182946,16,0,26196,0.029989,18776,0.075180,2.414000,1,16,16,0
nlpkkt240,27993600,746478752,16,0,5792616,0.029158,7215049,0.029993,28.488000,1,16,16,0
packing-500x100x100-b050,2145852,34976486,16,0,232814,0.029996,275017,0.029959,2.448000,1,16,16,0
rgg_n26_s0,67108864,1149107290,16,0,223466,0.029618,239470,0.029605,31.113000,1,16,16,0
sk-2005,50636154,3620126660,16,0,0,0.000000,0,0.000000,0.000000,1,16,16,1
uk-2002,18520486,523574516,16,0,1588263,0.030005,1630387,0.031039,112.927000,1,16,16,0
uk-2007-05,0,0,16,0,0,0.000000,0,0.000000,0.000000,1,16,16,1
youtube,1134890,5975246,16,0,720410,0.029677,720410,0.029677,0.651000,1,16,16,0
