Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
amazon,400727,4699738,16,0,185571,0.029905,185571,0.029905,0.365000,1,16,16,0
arabic-2005,22744080,1107806146,16,0,0,0.000000,2230177,0.051457,0.000000,1,16,16,1
channel-500x100x100-b050,4802000,85362744,16,0,744219,0.029514,897293,0.029981,4.803000,1,16,16,0
del26,67108864,402653086,16,0,112718,0.029534,125657,0.029621,25.512000,1,16,16,0
enwiki-2013,4206785,183879456,16,0,0,0.000000,32647969,0.033276,0.000000,1,16,16,1
eu-2005,862664,32276936,16,0,334685,0.029972,334685,0.029972,0.749000,1,16,16,0
hugebubbles-00010,19458087,58359528,16,0,17832,0.028165,18959,0.028154,10.600000,1,16,16,0
in-2004,1382908,27182946,16,0,25302,0.030000,20554,0.075319,2.595000,1,16,16,0
nlpkkt240,27993600,746478752,16,0,5669485,0.029077,7075209,0.028741,27.640000,1,16,16,0
packing-500x100x100-b050,2145852,34976486,16,0,238505,0.029996,282674,0.029989,2.353000,1,16,16,0
rgg_n26_s0,67108864,1149107290,16,0,229467,0.029896,245103,0.029745,30.584000,1,16,16,0
sk-2005,50636154,3620126660,16,0,0,0.000000,17416367,0.078052,0.000000,1,16,16,1
uk-2002,18520486,523574516,16,0,1612261,0.030006,1666731,0.030926,108.877000,1,16,16,0
uk-2007-05,0,0,16,0,0,0.000000,0,0.000000,0.000000,1,16,16,1
youtube,1134890,5975246,16,0,727763,0.029832,727763,0.029832,0.687000,1,16,16,0
