Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
amazon,400727,4699738,16,0,185604,0.029825,185604,0.029825,0.345000,1,16,16,0
arabic-2005,22744080,1107806146,16,0,2340481,0.029999,2381107,0.040327,22.758000,1,16,16,0
channel-500x100x100-b050,4802000,85362744,16,0,749890,0.029921,903053,0.029788,2.736000,1,16,16,0
del26,67108864,402653086,16,0,115005,0.028511,127021,0.028461,23.458000,1,16,16,0
enwiki-2013,4206785,183879456,16,0,29450435,0.029997,33177578,0.033759,12.415000,1,16,16,0
eu-2005,862664,32276936,16,0,334897,0.029972,334897,0.029972,0.758000,1,16,16,0
hugebubbles-00010,19458087,58359528,16,0,18692,0.028171,19796,0.028263,9.722000,1,16,16,0
in-2004,1382908,27182946,16,0,31225,0.029977,20789,0.074660,1.271000,1,16,16,0
nlpkkt240,27993600,746478752,16,0,5712607,0.029097,7115316,0.029734,17.615000,1,16,16,0
packing-500x100x100-b050,2145852,34976486,16,0,232963,0.029348,273996,0.029124,1.404000,1,16,16,0
rgg_n26_s0,67108864,1149107290,16,0,230964,0.029989,246424,0.029988,26.977000,1,16,16,0
sk-2005,50636154,3620126660,16,0,17541481,0.029999,17342926,0.076810,68.426000,1,16,16,0
uk-2002,18520486,523574516,16,0,1566039,0.029998,1621823,0.031838,11.586000,1,16,16,0
uk-2007-05,105896555,2308785832,16,0,843772059,0.029993,915452701,0.158427,202.446000,1,16,16,0
youtube,1134890,5975246,16,0,731831,0.029930,731831,0.029930,0.622000,1,16,16,0
