Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
add20,2395,14924,16,0,2256,0.026667,2256,0.026667,0.103000,1,16,16,0
astro-ph,16706,242502,16,0,25764,0.028708,25764,0.028708,0.126000,1,16,16,0
auto,448695,6629222,16,0,94929,0.021609,94929,0.021609,0.419000,1,16,16,0
bcsstk33,8738,583166,16,0,59100,0.027422,59100,0.027422,0.116000,1,16,16,0
belgium.osm,1441295,3099940,16,0,759,0.027253,761,0.027209,0.853000,1,16,16,0
citationCiteseer,268495,2313294,16,0,151646,0.013706,151646,0.013706,0.308000,1,16,16,0
cnr-2000,325557,5477938,16,0,6732,0.029831,6732,0.029831,0.272000,1,16,16,0
cond-mat-2005,40421,351382,16,0,37087,0.029284,37087,0.029284,0.212000,1,16,16,0
data,2851,30186,16,0,1207,0.022346,1207,0.022346,0.090000,1,16,16,0
delaunay_n19,524288,3145646,16,0,8801,0.025543,8801,0.025543,0.252000,1,16,16,0
ecology1,1000000,3996000,16,0,8481,0.021600,8481,0.021600,0.322000,1,16,16,0
email,1133,10902,16,0,2200,0.014084,2200,0.014084,0.102000,1,16,16,0
kron_g500-simple-logn16,65536,4912142,16,0,1957024,0.029785,1957024,0.029785,0.649000,1,16,16,0
rgg_n_2_19_s0,524288,6539532,16,0,9046,0.028778,9046,0.028778,0.291000,1,16,16,0
thermal2,1227087,7352268,16,0,13506,0.027904,13506,0.027904,0.410000,1,16,16,0
uk,4824,13674,16,0,185,0.029801,185,0.029801,0.097000,1,16,16,0
