Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
add20,2395,14924,16,0,2428,0.026667,2428,0.026667,0.111000,1,16,16,0
astro-ph,16706,242502,16,0,25252,0.028708,25252,0.028708,0.127000,1,16,16,0
auto,448695,6629222,16,0,93234,0.026851,93234,0.026851,0.436000,1,16,16,0
bcsstk33,8738,583166,16,0,59684,0.029250,59684,0.029250,0.113000,1,16,16,0
belgium.osm,1441295,3099940,16,0,773,0.026743,779,0.026665,0.854000,1,16,16,0
citationCiteseer,268495,2313294,16,0,147907,0.018712,147907,0.018712,0.299000,1,16,16,0
cnr-2000,325557,5477938,16,0,6317,0.029929,6317,0.029929,0.280000,1,16,16,0
cond-mat-2005,40421,351382,16,0,36819,0.021765,36819,0.021765,0.209000,1,16,16,0
data,2851,30186,16,0,1237,0.022346,1237,0.022346,0.084000,1,16,16,0
delaunay_n19,524288,3145646,16,0,9067,0.027832,9067,0.027832,0.230000,1,16,16,0
ecology1,1000000,3996000,16,0,8489,0.025808,8489,0.025808,0.330000,1,16,16,0
email,1133,10902,16,0,2178,0.014084,2178,0.014084,0.097000,1,16,16,0
kron_g500-simple-logn16,65536,4912142,16,0,1968068,0.029785,1968068,0.029785,0.741000,1,16,16,0
rgg_n_2_19_s0,524288,6539532,16,0,8563,0.029175,8563,0.029175,0.271000,1,16,16,0
thermal2,1227087,7352268,16,0,13486,0.024161,13486,0.024161,0.421000,1,16,16,0
uk,4824,13674,16,0,189,0.026490,189,0.026490,0.090000,1,16,16,0
