Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
add20,2395,14924,16,0,2387,0.026667,2387,0.026667,0.096000,1,16,16,0
astro-ph,16706,242502,16,0,25432,0.028708,25432,0.028708,0.130000,1,16,16,0
auto,448695,6629222,16,0,92930,0.017187,92930,0.017187,0.441000,1,16,16,0
bcsstk33,8738,583166,16,0,59531,0.027422,59531,0.027422,0.116000,1,16,16,0
belgium.osm,1441295,3099940,16,0,761,0.026998,763,0.026854,0.862000,1,16,16,0
citationCiteseer,268495,2313294,16,0,144919,0.029676,144919,0.029676,0.282000,1,16,16,0
cnr-2000,325557,5477938,16,0,6729,0.029929,6729,0.029929,0.267000,1,16,16,0
cond-mat-2005,40421,351382,16,0,38441,0.026909,38441,0.026909,0.209000,1,16,16,0
data,2851,30186,16,0,1249,0.022346,1249,0.022346,0.069000,1,16,16,0
delaunay_n19,524288,3145646,16,0,9166,0.027618,9166,0.027618,0.236000,1,16,16,0
ecology1,1000000,3996000,16,0,8316,0.026480,8316,0.026480,0.310000,1,16,16,0
email,1133,10902,16,0,2217,0.014084,2217,0.014084,0.083000,1,16,16,0
kron_g500-simple-logn16,65536,4912142,16,0,1961508,0.029785,1961508,0.029785,0.675000,1,16,16,0
rgg_n_2_19_s0,524288,6539532,16,0,9001,0.029053,9001,0.029053,0.296000,1,16,16,0
thermal2,1227087,7352268,16,0,13514,0.027199,13514,0.027199,0.416000,1,16,16,0
uk,4824,13674,16,0,180,0.026490,180,0.026490,0.101000,1,16,16,0
