Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
add20,2395,14924,16,0,2223,0.026667,2223,0.026667,0.083000,1,16,16,0
astro-ph,16706,242502,16,0,25321,0.028708,25321,0.028708,0.135000,1,16,16,0
auto,448695,6629222,16,0,92751,0.026993,92751,0.026993,0.435000,1,16,16,0
bcsstk33,8738,583166,16,0,59874,0.027422,59874,0.027422,0.117000,1,16,16,0
belgium.osm,1441295,3099940,16,0,808,0.022213,812,0.022191,0.858000,1,16,16,0
citationCiteseer,268495,2313294,16,0,148496,0.014004,148496,0.014004,0.308000,1,16,16,0
cnr-2000,325557,5477938,16,0,7118,0.029929,7118,0.029929,0.277000,1,16,16,0
cond-mat-2005,40421,351382,16,0,37209,0.028888,37209,0.028888,0.209000,1,16,16,0
data,2851,30186,16,0,1227,0.022346,1227,0.022346,0.088000,1,16,16,0
delaunay_n19,524288,3145646,16,0,8823,0.025909,8823,0.025909,0.247000,1,16,16,0
ecology1,1000000,3996000,16,0,8481,0.016784,8481,0.016784,0.311000,1,16,16,0
email,1133,10902,16,0,2182,0.028169,2182,0.028169,0.088000,1,16,16,0
kron_g500-simple-logn16,65536,4912142,16,0,1973982,0.029785,1973982,0.029785,0.627000,1,16,16,0
rgg_n_2_19_s0,524288,6539532,16,0,9260,0.029938,9260,0.029938,0.287000,1,16,16,0
thermal2,1227087,7352268,16,0,13488,0.027551,13488,0.027551,0.420000,1,16,16,0
uk,4824,13674,16,0,168,0.023179,168,0.023179,0.095000,1,16,16,0
