Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
add20,2395,14924,16,0,2260,0.026667,2260,0.026667,0.113000,1,16,16,0
astro-ph,16706,242502,16,0,25187,0.028708,25187,0.028708,0.134000,1,16,16,0
auto,448695,6629222,16,0,91633,0.027956,91633,0.027956,0.450000,1,16,16,0
bcsstk33,8738,583166,16,0,58741,0.027422,58741,0.027422,0.129000,1,16,16,0
belgium.osm,1441295,3099940,16,0,814,0.027442,817,0.027353,0.805000,1,16,16,0
citationCiteseer,268495,2313294,16,0,149856,0.018295,149856,0.018295,0.307000,1,16,16,0
cnr-2000,325557,5477938,16,0,6527,0.029733,6527,0.029733,0.295000,1,16,16,0
cond-mat-2005,40421,351382,16,0,37241,0.024139,37241,0.024139,0.216000,1,16,16,0
data,2851,30186,16,0,1284,0.022346,1284,0.022346,0.084000,1,16,16,0
delaunay_n19,524288,3145646,16,0,8790,0.027283,8790,0.027283,0.241000,1,16,16,0
ecology1,1000000,3996000,16,0,8647,0.021056,8647,0.021056,0.325000,1,16,16,0
email,1133,10902,16,0,2182,0.014084,2182,0.014084,0.102000,1,16,16,0
kron_g500-simple-logn16,65536,4912142,16,0,1967999,0.029785,1967999,0.029785,0.610000,1,16,16,0
rgg_n_2_19_s0,524288,6539532,16,0,8615,0.027618,8615,0.027618,0.305000,1,16,16,0
thermal2,1227087,7352268,16,0,13890,0.024618,13890,0.024618,0.393000,1,16,16,0
uk,4824,13674,16,0,188,0.019867,188,0.019867,0.094000,1,16,16,0
