Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
amazon,400727,4699738,16,0,184725,0.029945,184725,0.029945,0.349000,1,16,16,0
arabic-2005,22744080,1107806146,16,0,2244616,0.029993,2224097,0.047139,22.500000,1,16,16,0
channel-500x100x100-b050,4802000,85362744,16,0,729548,0.028445,874650,0.029768,2.767000,1,16,16,0
del26,67108864,402653086,16,0,108154,0.026775,119319,0.026736,21.509000,1,16,16,0
enwiki-2013,4206785,183879456,16,0,28575847,0.029993,32639423,0.033108,12.598000,1,16,16,0
eu-2005,862664,32276936,16,0,331651,0.029953,331651,0.029953,0.741000,1,16,16,0
hugebubbles-00010,19458087,58359528,16,0,18043,0.027671,19104,0.027569,9.369000,1,16,16,0
in-2004,1382908,27182946,16,0,31724,0.029977,19590,0.071189,1.169000,1,16,16,0
nlpkkt240,27993600,746478752,16,0,5793480,0.029223,7226807,0.029795,17.066000,1,16,16,0
packing-500x100x100-b050,2145852,34976486,16,0,245700,0.029974,289494,0.029862,1.427000,1,16,16,0
rgg_n26_s0,67108864,1149107290,16,0,238070,0.029261,253700,0.029361,26.920000,1,16,16,0
sk-2005,50636154,3620126660,16,0,17776913,0.029999,17874253,0.076685,68.889000,1,16,16,0
uk-2002,18520486,523574516,16,0,1609518,0.029998,1642870,0.031227,12.490000,1,16,16,0
uk-2007-05,105896555,2308785832,16,0,831584532,0.029990,916025040,0.145249,205.066000,1,16,16,0
youtube,1134890,5975246,16,0,722126,0.029973,722126,0.029973,0.632000,1,16,16,0
