Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
amazon,400727,4699738,16,0,186794,0.029905,186794,0.029905,0.347000,1,16,16,0
arabic-2005,22744080,1107806146,16,0,2363107,0.030006,2328066,0.041932,34.895000,1,16,16,0
channel-500x100x100-b050,4802000,85362744,16,0,738415,0.029984,891195,0.029658,3.645000,1,16,16,0
del26,67108864,402653086,16,0,109386,0.029076,120987,0.028938,24.684000,1,16,16,0
enwiki-2013,4206785,183879456,16,0,28874350,0.030012,32742489,0.033348,19.354000,1,16,16,0
eu-2005,862664,32276936,16,0,345263,0.029972,345263,0.029972,0.790000,1,16,16,0
hugebubbles-00010,19458087,58359528,16,0,17725,0.027920,18742,0.027917,10.777000,1,16,16,0
in-2004,1382908,27182946,16,0,28820,0.029989,18966,0.076037,1.512000,1,16,16,0
nlpkkt240,27993600,746478752,16,0,5769169,0.029519,7191813,0.029462,23.315000,1,16,16,0
packing-500x100x100-b050,2145852,34976486,16,0,238262,0.029996,281000,0.029989,1.739000,1,16,16,0
rgg_n26_s0,67108864,1149107290,16,0,239467,0.029986,255420,0.029995,30.035000,1,16,16,0
sk-2005,50636154,3620126660,16,0,16934113,0.030004,16482607,0.077540,126.823000,1,16,16,0
uk-2002,18520486,523574516,16,0,1585275,0.030000,1611825,0.031585,17.229000,1,16,16,0
uk-2007-05,105896555,2308785832,16,0,824678011,0.030001,893669632,0.153528,290.319000,1,16,16,0
youtube,1134890,5975246,16,0,718508,0.029747,718508,0.029747,0.656000,1,16,16,0
