Graph,N,M,K,Seed,Cut,Balance,InitialCut,InitialImbalance,Time,NumNodes,NumThreads,NumPEs,Failed
amazon,400727,4699738,16,0,185902,0.029945,185902,0.029945,0.367000,1,16,16,0
arabic-2005,22744080,1107806146,16,0,2203759,0.029999,2229620,0.052183,21.869000,1,16,16,0
channel-500x100x100-b050,4802000,85362744,16,0,769352,0.027645,928767,0.029734,2.777000,1,16,16,0
del26,67108864,402653086,16,0,108893,0.028583,120403,0.028642,23.524000,1,16,16,0
enwiki-2013,4206785,183879456,16,0,28899742,0.029993,32810522,0.033340,12.381000,1,16,16,0
eu-2005,862664,32276936,16,0,347621,0.029916,347621,0.029916,0.763000,1,16,16,0
hugebubbles-00010,19458087,58359528,16,0,18039,0.028436,19069,0.028414,10.319000,1,16,16,0
in-2004,1382908,27182946,16,0,33512,0.029977,18994,0.074579,1.223000,1,16,16,0
nlpkkt240,27993600,746478752,16,0,5888286,0.029891,7339837,0.029690,18.444000,1,16,16,0
packing-500x100x100-b050,2145852,34976486,16,0,235423,0.029982,277078,0.029959,1.445000,1,16,16,0
rgg_n26_s0,67108864,1149107290,16,0,234472,0.028431,250261,0.028367,27.697000,1,16,16,0
sk-2005,50636154,3620126660,16,0,18706792,0.029999,17848480,0.073962,70.165000,1,16,16,0
uk-2002,18520486,523574516,16,0,1597353,0.029998,1631532,0.031420,12.637000,1,16,16,0
uk-2007-05,105896555,2308785832,16,0,824354630,0.029993,896749947,0.171880,217.077000,1,16,16,0
youtube,1134890,5975246,16,0,719147,0.029874,719147,0.029874,0.668000,1,16,16,0
