Graph,N,M,K,Seed,Cut,Balance,Time,NumProcessors,Failed
amazon,400727,4699738,16,0,177289,0.029980,138.898000,0,1
arabic-2005,22744080,1107806146,16,0,1889207,0.030000,287.382000,0,1
channel-500x100x100-b050,4802000,85362744,16,0,648361,0.029930,137.207000,0,1
del26,67108864,402653086,16,0,94654,0.029420,831.167000,0,1
enwiki-2013,4206785,183879456,16,0,29328176,0.029990,268.740000,0,1
eu-2005,862664,32276936,16,0,331892,0.029990,136.700000,0,1
hugebubbles-00010,19458087,58359528,16,0,16666,0.029240,271.225000,0,1
in-2004,1382908,27182946,16,0,17981,0.029900,134.482000,0,1
nlpkkt240,27993600,746478752,16,0,5384895,0.028570,229.552000,0,1
packing-500x100x100-b050,2145852,34976486,16,0,208190,0.030000,133.200000,0,1
rgg_n26_s0,67108864,1149107290,16,0,206140,0.028160,359.264000,0,1
sk-2005,50636154,3620126660,16,0,23606371,0.030000,963.903000,0,1
uk-2002,18520486,523574516,16,0,1441900,0.030000,225.797000,0,1
uk-2007-05,0,0,16,0,0,0.000000,0.000000,0,1
youtube,1134890,5975246,16,0,737847,0.029990,165.933000,0,1
