Graph,N,M,K,Seed,Cut,Balance,Time,NumProcessors,Failed
amazon,400727,4699738,16,0,182199,0.029830,2.511060,0,1
arabic-2005,22744080,1107806146,16,0,1989411,0.029990,42.548500,0,1
channel-500x100x100-b050,4802000,85362744,16,0,723586,0.029880,2.558110,0,1
del26,67108864,402653086,16,0,112046,0.028130,219.987000,0,1
enwiki-2013,4206785,183879456,16,0,30198224,0.029990,38.664900,0,1
eu-2005,862664,32276936,16,0,406265,0.029970,2.235030,0,1
hugebubbles-00010,19458087,58359528,16,0,21193,0.028090,44.822600,0,1
in-2004,1382908,27182946,16,0,19750,0.029980,1.549250,0,1
nlpkkt240,27993600,746478752,16,0,5834632,0.030000,30.771100,0,1
packing-500x100x100-b050,2145852,34976486,16,0,239082,0.029990,1.451080,0,1
rgg_n26_s0,67108864,1149107290,16,0,252537,0.028610,74.153800,0,1
sk-2005,50636154,3620126660,16,0,25787379,0.030000,223.707000,0,1
uk-2002,18520486,523574516,16,0,1541726,0.029980,25.823000,0,1
uk-2007-05,0,0,16,0,0,0.000000,0.000000,0,1
youtube,1134890,5975246,16,0,786614,0.029990,9.636360,0,1
